<h1>	<h1>	<h1>	タグ		
1945-1972	1945-1972	1945-1972	未知語		
</h1>	</h1>	</h1>	タグ		
EOS
<h2>	<h2>	<h2>	タグ		
中央公論	チュウオウコウロン	中央公論	名詞-固有名詞-一般		
　	　	　	記号-空白		
61(3)([685]);	61(3)([685]);	61(3)([685]);	未知語		
三月	サンガツ	三月	名詞-副詞可能		
號	號	號	未知語		
</h2>	</h2>	</h2>	タグ		
EOS
民主	ミンシュ	民主	名詞-一般		
戦線	センセン	戦線	名詞-一般		
は	ハ	は	助詞-係助詞		
いかに	イカニ	いかに	副詞-一般		
し	シ	する	動詞-自立	サ変・スル	連用形
て	テ	て	助詞-接続助詞		
可能	カノウ	可能	名詞-形容動詞語幹		
なる	ナル	なり	助動詞	文語・ナリ	体言接続
か	カ	か	助詞-副助詞／並立助詞／終助詞		
　	　	　	記号-空白		
:	:	:	未知語		
　	　	　	記号-空白		
巻頭	カントウ	巻頭	名詞-一般		
言	ゲン	言	名詞-一般		
。	。	。	記号-句点		
　	　	　	記号-空白		
民主	ミンシュ	民主	名詞-一般		
戦線	センセン	戦線	名詞-一般		
と	ト	と	助詞-並立助詞		
文化	ブンカ	文化	名詞-一般		
戦線	センセン	戦線	名詞-一般		
。	。	。	記号-句点		
　	　	　	記号-空白		
日本	ニッポン	日本	名詞-固有名詞-地域-国		
社会党	シャカイトウ	社会党	名詞-固有名詞-組織		
と	ト	と	助詞-並立助詞		
農地	ノウチ	農地	名詞-一般		
改革	カイカク	改革	名詞-サ変接続		
。	。	。	記号-句点		
　	　	　	記号-空白		
預金	ヨキン	預金	名詞-サ変接続		
封鎖	フウサ	封鎖	名詞-サ変接続		
の	ノ	の	助詞-連体化		
革命	カクメイ	革命	名詞-一般		
的	テキ	的	名詞-接尾-形容動詞語幹		
意義	イギ	意義	名詞-一般		
。	。	。	記号-句点		
　	　	　	記号-空白		
議会	ギカイ	議会	名詞-一般		
制度	セイド	制度	名詞-一般		
の	ノ	の	助詞-連体化		
民主	ミンシュ	民主	名詞-一般		
化	カ	化	名詞-接尾-サ変接続		
。	。	。	記号-句点		
　	　	　	記号-空白		
世界	セカイ	世界	名詞-一般		
